[[[300.0, 303.0]], [[368.0, 285.0]]]
[[[266.8085021972656, 299.3741455078125]], [[365.3408508300781, 289.4580383300781]]]
[[[267.0997314453125, 299.9129333496094]], [[366.3344421386719, 291.5507507324219]]]
[[[267.5050964355469, 299.3426818847656]], [[371.3036193847656, 294.28985595703125]]]
[[[267.9886169433594, 297.7186279296875]], [[374.3131103515625, 296.3238525390625]]]
[[[269.2304382324219, 296.7847595214844]], [[373.5347595214844, 297.0926818847656]]]
[[[269.6837463378906, 297.2223815917969]], [[371.81719970703125, 296.4886779785156]]]
[[[269.6533203125, 296.4242248535156]], [[369.1881103515625, 294.7122497558594]]]
[[[270.61273193359375, 296.9650573730469]], [[365.73455810546875, 289.62811279296875]]]
[[[269.91485595703125, 296.94476318359375]], [[364.1635437011719, 288.68292236328125]]]
[[[269.468994140625, 297.32373046875]], [[363.0057067871094, 287.3857727050781]]]
[[[269.61773681640625, 296.3023681640625]], [[364.08807373046875, 286.7917785644531]]]
[[[268.7897033691406, 296.3133239746094]], [[362.6116638183594, 285.38818359375]]]
[[[268.4597473144531, 295.4588317871094]], [[363.96502685546875, 285.9508361816406]]]
[[[268.5640869140625, 296.1692810058594]], [[363.79522705078125, 286.98907470703125]]]
[[[268.96826171875, 296.3974914550781]], [[363.5151062011719, 288.50909423828125]]]
[[[268.8348083496094, 296.6481018066406]], [[363.5947265625, 291.53607177734375]]]
[[[268.943115234375, 296.88629150390625]], [[362.24627685546875, 293.4824523925781]]]
[[[269.4264831542969, 297.6109313964844]], [[360.3280334472656, 293.5663757324219]]]
[[[269.68682861328125, 297.6185302734375]], [[359.9817199707031, 293.37115478515625]]]
[[[271.1166076660156, 297.82000732421875]], [[358.204833984375, 292.32757568359375]]]
[[[270.7091064453125, 297.59130859375]], [[358.0980529785156, 291.8566589355469]]]
[[[270.9902648925781, 297.4654846191406]], [[358.0687255859375, 291.7484130859375]]]
[[[271.0517272949219, 297.19866943359375]], [[358.4215087890625, 291.1321716308594]]]
[[[271.552734375, 297.37493896484375]], [[358.1668701171875, 290.53680419921875]]]
[[[272.062255859375, 297.2339782714844]], [[357.8906555175781, 288.50494384765625]]]
[[[272.2789611816406, 297.69732666015625]], [[357.6273498535156, 287.3778991699219]]]
